Nota_Matematica,IAA,Fase Ideal,Turma,RA,INDE,Nota_Portugues,IDA,IAN,Ano Nascimento,IPV,IPS,Ano ingresso,Pedra,Instituição de ensino,Nome Anonimizado,IEG,Idade,Fase,Defasagem,Gênero,Ano_Referencia
2.7,8.3,Fase 8 (Universitários),A,RA-1,5.783,3.5,4.0,5.0,2003,7.278,5.6,2016,Quartzo,Escola Pública,Aluno-1,4.1,19,7,-1,Feminino,2022
6.3,8.8,Fase 7 (3º EM),A,RA-2,7.055,4.5,6.8,10.0,2005,6.778,6.3,2017,Ametista,Rede Decisão,Aluno-2,5.2,17,7,0,Feminino,2022
5.8,0.0,Fase 7 (3º EM),A,RA-3,6.591,4.0,5.6,10.0,2005,7.556,5.6,2016,Ágata,Rede Decisão,Aluno-3,7.9,17,7,0,Feminino,2022
2.8,8.8,Fase 7 (3º EM),A,RA-4,5.951,3.5,5.0,10.0,2005,5.278,5.6,2017,Quartzo,Rede Decisão,Aluno-4,4.5,17,7,0,Masculino,2022
7.0,7.9,Fase 7 (3º EM),A,RA-5,7.427,2.9,5.2,10.0,2005,7.389,5.6,2016,Ametista,Rede Decisão,Aluno-5,8.6,17,7,0,Feminino,2022
2.3,7.9,Fase 8 (Universitários),A,RA-6,5.848,5.3,3.3,5.0,2004,7.222,7.5,2021,Quartzo,Escola Pública,Aluno-6,4.5,18,7,-1,Feminino,2022
8.2,0.0,Fase 8 (Universitários),A,RA-7,6.818,5.7,7.6,5.0,2004,7.667,7.5,2017,Ágata,Rede Decisão,Aluno-7,8.4,18,7,-1,Masculino,2022
1.2,7.1,Fase 8 (Universitários),A,RA-8,4.786,0.7,1.6,5.0,2002,6.278,6.3,2018,Quartzo,Escola Pública,Aluno-8,4.6,20,7,-1,Feminino,2022
5.5,8.8,Fase 8 (Universitários),A,RA-9,8.109,6.0,6.7,5.0,2004,9.5,7.5,2019,Topázio,Escola Pública,Aluno-9,9.5,18,7,-1,Feminino,2022
3.3,8.3,Fase 8 (Universitários),A,RA-10,5.784,2.6,4.1,5.0,2004,7.056,5.0,2021,Quartzo,Escola Pública,Aluno-10,5.2,18,7,-1,Feminino,2022
1.8,9.2,Fase 8 (Universitários),A,RA-11,5.323,2.5,3.0,5.0,2004,6.389,5.0,2016,Quartzo,Escola Pública,Aluno-11,4.2,18,7,-1,Feminino,2022
2.7,0.0,Fase 7 (3º EM),A,RA-12,4.832,1.1,1.5,10.0,2005,6.389,6.9,2020,Quartzo,Escola Pública,Aluno-12,4.0,17,7,0,Feminino,2022
3.5,7.9,Fase 8 (Universitários),A,RA-13,6.902,5.5,4.7,5.0,2004,8.056,7.5,2016,Ágata,Escola Pública,Aluno-13,7.4,18,7,-1,Masculino,2022
8.0,7.9,Fase 8 (Universitários),D,RA-14,6.793,0.0,4.0,5.0,2001,7.75,7.5,2022,Ágata,Escola Pública,Aluno-14,8.3,21,7,-1,Masculino,2022
8.0,8.8,Fase 8 (Universitários),D,RA-15,7.783,6.5,7.3,5.0,2004,7.292,7.5,2022,Ametista,Escola Pública,Aluno-15,10.0,18,7,-1,Masculino,2022
7.0,7.9,Fase 8 (Universitários),D,RA-16,6.112,0.0,3.5,5.0,2003,6.333,5.0,2022,Ágata,Escola Pública,Aluno-16,8.3,19,7,-1,Masculino,2022
9.0,8.8,Fase 8 (Universitários),D,RA-17,8.068,6.5,7.8,5.0,2002,8.292,7.5,2022,Topázio,Escola Pública,Aluno-17,10.0,20,7,-1,Masculino,2022
9.0,6.3,Fase 8 (Universitários),D,RA-18,7.226,9.0,9.0,5.0,2003,6.875,6.3,2022,Ametista,Escola Pública,Aluno-18,8.7,19,7,-1,Masculino,2022
7.0,7.9,Fase 8 (Universitários),D,RA-19,7.665,9.0,8.0,5.0,2003,7.0,7.5,2022,Ametista,Escola Pública,Aluno-19,9.5,19,7,-1,Feminino,2022
9.0,7.1,Fase 8 (Universitários),D,RA-20,7.535,6.5,7.8,5.0,2003,7.167,6.3,2022,Ametista,Escola Pública,Aluno-20,10.0,19,7,-1,Feminino,2022
7.0,9.6,Fase 8 (Universitários),D,RA-21,6.945,0.5,3.8,5.0,2004,7.25,7.5,2022,Ágata,Escola Pública,Aluno-21,9.2,18,7,-1,Masculino,2022
9.0,8.3,Fase 7 (3º EM),A,RA-22,7.474,3.1,6.7,5.0,2005,8.833,8.1,2019,Ametista,Rede Decisão,Aluno-22,7.4,17,6,-1,Feminino,2022
7.2,8.3,Fase 7 (3º EM),A,RA-23,7.677,4.7,6.7,5.0,2005,8.556,8.1,2021,Ametista,Escola Pública,Aluno-23,8.2,17,6,-1,Masculino,2022
10.0,9.2,Fase 7 (3º EM),A,RA-24,8.087,6.3,8.6,5.0,2005,9.111,6.9,2021,Topázio,Rede Decisão,Aluno-24,7.9,17,6,-1,Feminino,2022
9.2,8.3,Fase 7 (3º EM),A,RA-25,7.979,3.8,6.9,5.0,2005,9.667,8.8,2021,Ametista,Escola Pública,Aluno-25,8.3,17,6,-1,Feminino,2022
9.5,9.6,Fase 7 (3º EM),A,RA-26,8.677,4.4,8.0,5.0,2005,10.0,10.0,2022,Topázio,Escola Pública,Aluno-26,8.8,17,6,-1,Masculino,2022
7.7,0.0,Fase 7 (3º EM),A,RA-27,7.124,6.3,8.0,5.0,2005,9.111,8.1,2016,Ametista,Rede Decisão,Aluno-27,7.6,17,6,-1,Masculino,2022
8.2,7.9,Fase 7 (3º EM),A,RA-28,6.242,1.5,5.0,5.0,2005,6.333,7.5,2019,Ágata,Escola Pública,Aluno-28,6.1,17,6,-1,Feminino,2022
6.3,0.0,Fase 7 (3º EM),A,RA-29,4.985,1.1,3.7,5.0,2005,7.611,8.8,2022,Quartzo,Escola Pública,Aluno-29,4.0,17,6,-1,Masculino,2022
8.5,8.8,Fase 6 (2º EM),A,RA-30,7.605,4.4,7.5,10.0,2006,7.333,7.5,2021,Ametista,Escola Pública,Aluno-30,6.4,16,6,0,Feminino,2022
9.0,10.0,Fase 7 (3º EM),A,RA-31,8.843,5.7,8.0,5.0,2005,10.0,9.4,2019,Topázio,Rede Decisão,Aluno-31,9.5,17,6,-1,Feminino,2022
5.7,8.8,Fase 6 (2º EM),A,RA-32,7.37,3.6,6.1,10.0,2006,7.944,8.8,2018,Ametista,Rede Decisão,Aluno-32,5.2,16,6,0,Feminino,2022
9.0,0.0,Fase 7 (3º EM),A,RA-33,4.952,1.6,4.8,5.0,2005,6.0,7.5,2020,Quartzo,Escola Pública,Aluno-33,4.6,17,6,-1,Feminino,2022
4.7,9.6,Fase 7 (3º EM),A,RA-34,6.259,4.0,3.8,5.0,2005,7.278,8.1,2016,Ágata,Rede Decisão,Aluno-34,4.8,17,6,-1,Masculino,2022
9.0,10.0,Fase 7 (3º EM),A,RA-35,8.965,7.1,8.5,5.0,2005,10.0,9.4,2019,Topázio,Rede Decisão,Aluno-35,9.6,17,6,-1,Feminino,2022
