IDA,Ano Nascimento,IPV,Pedra,Nota_Matematica,IAA,IAN,Gênero,Fase Ideal,Fase,Idade,Nota_Portugues,INDE,RA,Defasagem,IPS,IEG,Ano ingresso,Turma,Instituição de ensino,Nome Anonimizado,Ano_Referencia
4.0,2003,7.278,Quartzo,2.7,8.3,5.0,Menina,Fase 8 (Universitários),7,19,3.5,5.783,RA-1,-1,5.6,4.1,2016,A,Escola Pública,Aluno-1,2022
6.8,2005,6.778,Ametista,6.3,8.8,10.0,Menina,Fase 7 (3º EM),7,17,4.5,7.055,RA-2,0,6.3,5.2,2017,A,Rede Decisão,Aluno-2,2022
5.6,2005,7.556,Ágata,5.8,0.0,10.0,Menina,Fase 7 (3º EM),7,17,4.0,6.591,RA-3,0,5.6,7.9,2016,A,Rede Decisão,Aluno-3,2022
5.0,2005,5.278,Quartzo,2.8,8.8,10.0,Menino,Fase 7 (3º EM),7,17,3.5,5.951,RA-4,0,5.6,4.5,2017,A,Rede Decisão,Aluno-4,2022
5.2,2005,7.389,Ametista,7.0,7.9,10.0,Menina,Fase 7 (3º EM),7,17,2.9,7.427,RA-5,0,5.6,8.6,2016,A,Rede Decisão,Aluno-5,2022
3.3,2004,7.222,Quartzo,2.3,7.9,5.0,Menina,Fase 8 (Universitários),7,18,5.3,5.848,RA-6,-1,7.5,4.5,2021,A,Escola Pública,Aluno-6,2022
7.6,2004,7.667,Ágata,8.2,0.0,5.0,Menino,Fase 8 (Universitários),7,18,5.7,6.818,RA-7,-1,7.5,8.4,2017,A,Rede Decisão,Aluno-7,2022
1.6,2002,6.278,Quartzo,1.2,7.1,5.0,Menina,Fase 8 (Universitários),7,20,0.7,4.786,RA-8,-1,6.3,4.6,2018,A,Escola Pública,Aluno-8,2022
6.7,2004,9.5,Topázio,5.5,8.8,5.0,Menina,Fase 8 (Universitários),7,18,6.0,8.109,RA-9,-1,7.5,9.5,2019,A,Escola Pública,Aluno-9,2022
4.1,2004,7.056,Quartzo,3.3,8.3,5.0,Menina,Fase 8 (Universitários),7,18,2.6,5.784,RA-10,-1,5.0,5.2,2021,A,Escola Pública,Aluno-10,2022
3.0,2004,6.389,Quartzo,1.8,9.2,5.0,Menina,Fase 8 (Universitários),7,18,2.5,5.323,RA-11,-1,5.0,4.2,2016,A,Escola Pública,Aluno-11,2022
1.5,2005,6.389,Quartzo,2.7,0.0,10.0,Menina,Fase 7 (3º EM),7,17,1.1,4.832,RA-12,0,6.9,4.0,2020,A,Escola Pública,Aluno-12,2022
4.7,2004,8.056,Ágata,3.5,7.9,5.0,Menino,Fase 8 (Universitários),7,18,5.5,6.902,RA-13,-1,7.5,7.4,2016,A,Escola Pública,Aluno-13,2022
4.0,2001,7.75,Ágata,8.0,7.9,5.0,Menino,Fase 8 (Universitários),7,21,0.0,6.793,RA-14,-1,7.5,8.3,2022,D,Escola Pública,Aluno-14,2022
7.3,2004,7.292,Ametista,8.0,8.8,5.0,Menino,Fase 8 (Universitários),7,18,6.5,7.783,RA-15,-1,7.5,10.0,2022,D,Escola Pública,Aluno-15,2022
3.5,2003,6.333,Ágata,7.0,7.9,5.0,Menino,Fase 8 (Universitários),7,19,0.0,6.112,RA-16,-1,5.0,8.3,2022,D,Escola Pública,Aluno-16,2022
7.8,2002,8.292,Topázio,9.0,8.8,5.0,Menino,Fase 8 (Universitários),7,20,6.5,8.068,RA-17,-1,7.5,10.0,2022,D,Escola Pública,Aluno-17,2022
9.0,2003,6.875,Ametista,9.0,6.3,5.0,Menino,Fase 8 (Universitários),7,19,9.0,7.226,RA-18,-1,6.3,8.7,2022,D,Escola Pública,Aluno-18,2022
8.0,2003,7.0,Ametista,7.0,7.9,5.0,Menina,Fase 8 (Universitários),7,19,9.0,7.665,RA-19,-1,7.5,9.5,2022,D,Escola Pública,Aluno-19,2022
7.8,2003,7.167,Ametista,9.0,7.1,5.0,Menina,Fase 8 (Universitários),7,19,6.5,7.535,RA-20,-1,6.3,10.0,2022,D,Escola Pública,Aluno-20,2022
3.8,2004,7.25,Ágata,7.0,9.6,5.0,Menino,Fase 8 (Universitários),7,18,0.5,6.945,RA-21,-1,7.5,9.2,2022,D,Escola Pública,Aluno-21,2022
6.7,2005,8.833,Ametista,9.0,8.3,5.0,Menina,Fase 7 (3º EM),6,17,3.1,7.474,RA-22,-1,8.1,7.4,2019,A,Rede Decisão,Aluno-22,2022
6.7,2005,8.556,Ametista,7.2,8.3,5.0,Menino,Fase 7 (3º EM),6,17,4.7,7.677,RA-23,-1,8.1,8.2,2021,A,Escola Pública,Aluno-23,2022
8.6,2005,9.111,Topázio,10.0,9.2,5.0,Menina,Fase 7 (3º EM),6,17,6.3,8.087,RA-24,-1,6.9,7.9,2021,A,Rede Decisão,Aluno-24,2022
6.9,2005,9.667,Ametista,9.2,8.3,5.0,Menina,Fase 7 (3º EM),6,17,3.8,7.979,RA-25,-1,8.8,8.3,2021,A,Escola Pública,Aluno-25,2022
8.0,2005,10.0,Topázio,9.5,9.6,5.0,Menino,Fase 7 (3º EM),6,17,4.4,8.677,RA-26,-1,10.0,8.8,2022,A,Escola Pública,Aluno-26,2022
8.0,2005,9.111,Ametista,7.7,0.0,5.0,Menino,Fase 7 (3º EM),6,17,6.3,7.124,RA-27,-1,8.1,7.6,2016,A,Rede Decisão,Aluno-27,2022
5.0,2005,6.333,Ágata,8.2,7.9,5.0,Menina,Fase 7 (3º EM),6,17,1.5,6.242,RA-28,-1,7.5,6.1,2019,A,Escola Pública,Aluno-28,2022
