limiar,recall_risco,precision_risco,f1_risco,sinalizados,proporcao_sinalizada,verdadeiros_negativos,falsos_positivos,falsos_negativos,verdadeiros_positivos,delta_recall_vs_0_50,delta_precision_vs_0_50
0.2,0.9934426229508196,0.4926829268292683,0.658695652173913,615,0.9070796460176991,61,312,2,303,0.31803278688524583,-0.2536938847649346
0.25,0.9737704918032787,0.526595744680851,0.6835443037974683,564,0.831858407079646,106,267,8,297,0.29836065573770487,-0.21978106691335186
0.3,0.9475409836065574,0.5946502057613169,0.7307206068268015,486,0.7168141592920354,176,197,16,289,0.27213114754098355,-0.151726605832886
0.35,0.8885245901639345,0.6437054631828979,0.7465564738292011,421,0.6209439528023599,223,150,34,271,0.21311475409836067,-0.10267134841130499
0.4,0.839344262295082,0.6844919786096256,0.7540500736377025,374,0.551622418879056,255,118,49,256,0.16393442622950816,-0.061884832984577254
0.45,0.7704918032786885,0.7142857142857143,0.7413249211356467,329,0.48525073746312686,279,94,70,235,0.09508196721311468,-0.03209109730848858
0.5,0.6754098360655738,0.7463768115942029,0.7091222030981067,276,0.40707964601769914,303,70,99,206,0.0,0.0
0.55,0.5868852459016394,0.7955555555555556,0.6754716981132075,225,0.33185840707964603,327,46,126,179,-0.08852459016393444,0.04917874396135269
0.6,0.4786885245901639,0.8202247191011236,0.6045548654244306,178,0.26253687315634217,341,32,159,146,-0.1967213114754099,0.07384790750692072
0.65,0.38688524590163936,0.8489208633093526,0.5315315315315315,139,0.20501474926253688,352,21,187,118,-0.28852459016393445,0.10254405171514969
0.7,0.24262295081967214,0.8604651162790697,0.37851662404092073,86,0.12684365781710916,361,12,231,74,-0.4327868852459017,0.11408830468486686
0.75,0.16721311475409836,0.9272727272727272,0.2833333333333333,55,0.08112094395280237,369,4,254,51,-0.5081967213114754,0.18089591567852437
0.8,0.08196721311475409,0.9615384615384616,0.1510574018126888,26,0.038348082595870206,372,1,280,25,-0.5934426229508197,0.21516164994425868
